model,layer,auc_score,model,layer_name,shape
yolov8m_padding,layer2,0.7374170688072101,yolov8m_padding,C2f 2,"(1, 96, 184, 320)"
yolov8m_padding,layer3,0.7255291997057568,yolov8m_padding,Conv 3,"(1, 96, 184, 320)"
yolov8m_padding,layer4,0.7536754136762147,yolov8m_padding,C2f 4,"(1, 192, 92, 160)"
yolov8m_padding,layer5,0.752895007113788,yolov8m_padding,Conv 5,"(1, 192, 92, 160)"
yolov8m_padding,layer6,0.741724370786273,yolov8m_padding,C2f 6,"(1, 384, 46, 80)"
yolov8m_padding,layer7,0.7299649569183153,yolov8m_padding,Conv 7,"(1, 384, 46, 80)"
yolov8m_padding,layer8,0.7471359423409772,yolov8m_padding,C2f 8,"(1, 576, 23, 40)"
yolov8m_padding,layer9,0.7322484744359407,yolov8m_padding,SPPF 9,"(1, 576, 23, 40)"
yolov8m_padding,layer10,0.7326132913785502,yolov8m_padding,Upsample 10,"(1, 576, 23, 40)"
yolov8m_padding,layer11,0.7428708829152494,yolov8m_padding,Concat 11,"(1, 576, 46, 80)"
yolov8m_padding,layer12,0.7651961166612862,yolov8m_padding,C2f 12,"(1, 960, 46, 80)"
yolov8m_padding,layer13,0.7644271498634831,yolov8m_padding,Upsample 13,"(1, 384, 46, 80)"
yolov8m_padding,layer14,0.7713990003274155,yolov8m_padding,Concat 14,"(1, 384, 92, 160)"
yolov8m_padding,layer15,0.765837557006383,yolov8m_padding,C2f 15,"(1, 576, 92, 160)"
yolov8m_padding,layer16,0.733048547666306,yolov8m_padding,Conv 16,"(1, 192, 92, 160)"
yolov8m_padding,layer17,0.7616307426518498,yolov8m_padding,Concat 17,"(1, 192, 46, 80)"
yolov8m_padding,layer18,0.7418306627580135,yolov8m_padding,C2f 18,"(1, 576, 46, 80)"
yolov8m_padding,layer19,0.6964000287584834,yolov8m_padding,Conv 19,"(1, 384, 46, 80)"
yolov8m_padding,layer20,0.7277418216987543,yolov8m_padding,Concat 20,"(1, 384, 23, 40)"
yolov8m_padding,layer21,0.709033212328598,yolov8m_padding,C2f 21,"(1, 960, 23, 40)"
