dataset,tracker,resolution,conf,model,HOTA,AssA,AssRe,AssPr,LocA,DetA,Dets,GT_IDs,IDs
MOT20,Bytetrack,1280,0.25,yolov8x,21.495,29.171,30.644,80.129,79.584,15.956,248396,2215,3250
MOT20,Bytetrack,1280,0.25,yolov8s,30.88,29.248,30.904,75.021,77.489,32.939,552050,2215,7005
MOT20,LITEDeepSORT,1280,0.25,yolov8n,24.762,18.189,22.975,38.873,75.814,34.399,651154,2215,3460
MOT20,DeepSORT,1280,0.05,yolov8m,30.229,23.189,28.342,45.126,75.393,40.246,880404,2215,5187
MOT20,Bytetrack,1280,0.25,yolov8l,24.397,29.539,30.956,79.524,79.261,20.305,317568,2215,4053
MOT20,LITEDeepSORT,1280,0.01,yolov8l,24.914,17.89,23.03,36.632,74.281,35.947,1447884,2215,11302
MOT20,Bytetrack,1280,0.25,yolov8n,28.481,25.986,27.504,73.648,76.682,31.642,540884,2215,8433
MOT20,OCSORT,1280,0.25,yolov8l,24.505,31.961,33.74,77.917,79.527,18.945,293663,2215,2929
MOT20,DeepSORT,1280,0.25,yolov8l,23.855,25.228,29.081,54.992,78.654,22.774,370457,2215,2392
MOT20,OCSORT,1280,0.05,yolov8s,31.043,24.266,26.355,64.452,75.266,40.889,867906,2215,13813
MOT20,DeepSORT,1280,0.15,yolov8n,25.505,17.845,22.283,39.106,74.859,37.487,811611,2215,4645
MOT20,SORT,1280,0.05,yolov8l,26.807,19.109,19.968,77.88,76.392,38.795,748206,2215,36507
MOT20,LITEDeepSORT,1280,0.05,yolov8l,29.383,22.565,27.858,43.924,75.926,39.06,831394,2215,4789
MOT20,LITEDeepSORT,1280,0.01,yolov8x,26.224,19.089,24.156,38.688,74.426,37.239,1327706,2215,9888
MOT20,DeepSORT,1280,0.5,yolov8l,15.297,23.247,26.69,58.929,80.573,10.154,153337,2215,1217
MOT20,SORT,1280,0.25,yolov8n,20.423,13.346,13.828,79.124,76.376,32.444,568637,2215,35940
MOT20,SORT,1280,0.01,yolov8m,26.316,18.143,19.043,73.806,74.409,40.132,1242811,2215,85394
MOT20,StrongSORT,1280,0.25,yolov8m,26.117,28.28,32.058,60.523,78.396,24.368,400557,2215,2585
MOT20,DeepSORT,1280,0.15,yolov8l,27.331,25.048,29.593,50.668,77.744,30.198,516073,2215,2688
MOT20,SORT,1280,0.5,yolov8s,16.8,14.912,15.35,83.792,79.228,19.295,297546,2215,15723
